username,display_name
omarsar0,elvis
soumithchintala,Soumith Chintala
jeremyphoward,Jeremy Howard
bernhardsson,Erik Bernhardsson
sh_reya,Shreya Shankar
ericjang11,Eric Jang
chrisalbon,Chris Albon
HamelHusain,Hamel Husain
vboykis,vicki
RichardSocher,Richard Socher
woj_zaremba,Wojciech Zaremba
iamtrask,⿻ Andrew Trask
ChristophMolnar,Christoph Molnar 
savvyRL,Rosanne Liu
bhutanisanyam1,Sanyam Bhutani
svlevine,Sergey Levine
RisingSayak,Sayak Paul
hausman_k,Karol Hausman
shaneguML,Shane Gu
EugeneVinitsky,Eugene Vinitsky 
stanfordnlp,Stanford NLP Group
chrmanning,Christopher Manning
SleeperJets,SleeperJets
hwchung27,Hyung Won Chung
milesgrimshaw,Miles Grimshaw
BorisMPower,Boris Power
embirico,Alexander Embiricos
ShunyuYao12,Shunyu Yao
w01fe,Jason Wolfe
j_upward,Jonathan Ward
xikun_zhang_,Xikun Zhang 张熙堃
Eric_Wallace_,Eric Wallace
caseychu9,Casey Chu
maticrobots,Matic Robots
ypatil125,Yash Patil
fouadmatin,fouad
ahelkky,Ahmed El-Kishky
barret_zoph,Barret Zoph
bradlightcap,Brad Lightcap
LiamFedus,William Fedus
