username,display_name
ylecun,Yann LeCun
fchollet,François Chollet
hardmaru,hardmaru
_akhaliq,AK
rasbt,Sebastian Raschka
AIatMeta,AI at Meta
soumithchintala,Soumith Chintala
PyTorch,PyTorch
jeremyphoward,Jeremy Howard
arankomatsuzaki,Aran Komatsuzaki
ykilcher,Yannic Kilcher 
giffmana,Lucas Beyer (bl16)
woj_zaremba,Wojciech Zaremba
huggingface,Hugging Face
ericjang11,Eric Jang
ivanhzhao,Ivan Zhao
mitchellh,Mitchell Hashimoto
steipete,Peter Steinberger
adocomplete,Ado
bcherny,Boris Cherny
moxie,Moxie Marlinspike
Suuraj,Suraj Srinivas
SamuelAlbanie,Samuel Albanie 
nidmarti,Aditya Nidmarti
agarwl_,Rishabh Agarwal
gaunernst,Thien Tran
askalphaxiv,alphaXiv
jacobaustin132,Jacob Austin
IvanVendrov,ivan
arlanr,Arlan
snwy_me,snwy
Jonathan_Blow,Jonathan Blow
keithmadams,Keith Adams // Pebblebed
Lewis_Bollard,Lewis Bollard
ChangJonathanC,Jonathan Chang
JingyuanLiu123,JingyuanLiu
jxbz,Jeremy Bernstein
LakerNewhouse,Laker Newhouse
dhh,DHH
DecartAI,Decart
willdepue,will depue
