username,display_name
paulg,Paul Graham
levie,Aaron Levie
jheitzeb,Joe Heitzeberg
galenward,Galen Ward
calbucci,Marcelo Calbucci
patrickc,Patrick Collison
melindagates,Melinda French Gates
benparr,Ben Parr
om,OM
m2jr,"Mike Maples, Jr"
chrismichel,Christopher Michel
auren,Auren Hoffman
bcherny,Boris Cherny
ziv_ravid,Ravid Shwartz Ziv
_albertgu,Albert Gu
insane_analyst,Irrational Analysis
alz_zyd_,alz
McaleerStephen,Stephen McAleer
antigravity,Google Antigravity
JensenHuangcon,Jensen Huang
maxhodak_,Max Hodak
steipete,Peter Steinberger
NotebookLM,NotebookLM
jaseweston,Jason Weston
dwarkesh_sp,Dwarkesh Patel
GoogleResearch,Google Research
inkynumbers,Ross Girshick
andrewgwils,Andrew Gordon Wilson
pmddomingos,Pedro Domingos
PTXofficial,Pentatonix
BrianRoemmele,Brian Roemmele
jasondeanlee,Jason Lee
giffmana,Lucas Beyer (bl16)
dkhos,dara khosrowshahi
erikyw26,Erik Wang
askalphaxiv,alphaXiv
__nmca__,Nat McAleese
xamat,Xavier (Xavi) Amatriain
