username,display_name
ESYudkowsky,Eliezer Yudkowsky 
StefanFSchubert,Stefan Schubert
NathanpmYoung,Nathan 
RichardMCNgo,Richard Ngo
peterwildeford,Peter Wildeford
AlecStapp,Alec Stapp
moskov,Dustin Moskovitz
KelseyTuoc,Kelsey Piper
robinhanson,Robin Hanson
QualyThe,Qualy the lightbulb
alexeyguzey,Alexey Guzey
FreshMangoLassi,Habiba 
albrgr,Alexander Berger
michael_nielsen,Michael Nielsen
PradyuPrasad,Pradyumna
robertwiblin,Rob Wiblin
frances__lorenz,Frances Lorenz
robbensinger,Rob Bensinger 
davidmanheim,David Manheim
anderssandberg,Anders Sandberg
basilh_2,B2H2
StanfordAILab,Stanford AI Lab
suchenzang,Susan Zhang
lilianweng,Lilian Weng
maxwellfarrens,Max Farrens
ALupsasca,Alex Lupsasca
michaelhpage,page
partners_road,RiverRoadPartners
ShanghaiMacro,Shanghai Macro Strategist
_NathanCalvin,Nathan Calvin
TBU12345678,TBU
RHouseResearch,Rittenhouse Research
pernasresearch,Pernas Research
stevehou,Steve Hou
lefttailguy,illiquid
rubicon59,rubicon59
rwang07,Ray Wang
__paleologo,Gappy (Giuseppe Paleologo)
m0ldilocks,Ariana Thacker
FundaBottom,FundaAI
