username,display_name
HarryStebbings,Harry Stebbings
jasonlk,Jason 
pitdesi,Sheel Mohnot
mattturck,Matt Turck
schlaf,Steve Schlafman
eriktorenberg,Erik Torenberg
rabois,Keith Rabois
ericbahn,Eric Bahn 
joshelman,Josh Elman
jrichlive,Jeff Richards
bznotes,Bilal Zuberi
alexiskold,Alex Iskold | 2048.vc
ttunguz,Tomasz Tunguz
jaltma,Jack Altman
jmj,Jeff Morris Jr.
rsg,Bobby Goodlatte
zachcoelius,Zach Coelius
thogge,tyler hogge
KTmBoyle,Katherine Boyle
hugo_larochelle,Hugo Larochelle
JeffDean,Jeff Dean
steipete,Peter Steinberger
yiran__c,Yiran - edu/acc
MitchForest,Mitch Forest - edu/acc
teachthemx3,Wendy
gkamstra,Greg Kamstra
garberchov,andrew garber - edu/acc 
mbrendan1,Brendan McCord 
AnnaDavlantes,Anna Davlantes
newindustrials,New American Industrial Alliance
stoarca,Serge Toarca
adityas129,Adi Sharma
chan_k,Chan Karunamuni
josh_tobin_,Josh Tobin
bfl_ml,Black Forest Labs
chelseabfinn,Chelsea Finn
sfliberty,Students For Liberty
OliaOnX,Olia
