username,display_name
nickcammarata,Nick
michael_nielsen,Michael Nielsen
natfriedman,Nat Friedman
danielgross,Daniel Gross
goth600,@goth
drmichaellevin,Michael Levin
woj_zaremba,Wojciech Zaremba
elidourado,Eli Dourado
jasoncrawford,Jason Crawford
pfau,David Pfau
patrickmineault,Patrick Mineault
jackclarkSF,Jack Clark
KordingLab,Kording Lab 
FutureJurvetson,Steve Jurvetson
celinehalioua,Celine Halioua
sethbannon,Seth Bannon
GillVerd,Gill Verdon
bayeslord,bayes
demishassabis,Demis Hassabis
anderssandberg,Anders Sandberg
shl,Sahil Lavingia
antifraudco,The Antifraud Company
abshkbh,Abhishek Bhardwaj
bearablylight,Melissa Du
regardthefrost,Jim O’Neill
C_Angermayer,Christian Angermayer
ryanzip,Ryan Oksenhorn
brandon_xyzw,Brandon
lu_sichu,Sichu Lu
MiTiBennett,Michael Timothy Bennett
NPCollapse,Connor Leahy
scottbelsky,scott belsky
andrewmccalip,Andrew McCalip
watanabemasata,渡辺正峰/Masataka Watanabe
polygonflow,Polygonflow Dash
JoinEdgeCity,Edge City
MCapogrosso,Marco Capogrosso
pdhsu,Patrick Hsu
shervin,Shervin
