username,display_name
preskill,John Preskill
Meaningness,David Chapman
jasoncrawford,Jason Crawford
andy_matuschak,Andy Matuschak
ericjang11,Eric Jang
anderssandberg,Anders Sandberg
AndreasAtETH,Andreas Wallraff
nabeelqu,Nabeel S. Qureshi
AnthropicAI,Anthropic
KelseyTuoc,Kelsey Piper
Miles_Brundage,Miles Brundage
Malcolm_Ocean,Malcolm Ocean 
robbensinger,Rob Bensinger 
jackclarkSF,Jack Clark
devonzuegel,Devon 
m_ashcroft,Michael Ashcroft
JeffLadish,Jeffrey Ladish
DRMacIver,David R. MacIver
ilex_ulmus,Holly 
quocleix,Quoc Le
abshkbh,Abhishek Bhardwaj
OriolVinyalsML,Oriol Vinyals
dll1101,DL Leung
protomneme,em
postnatural,PostNatural History
donswriting,Don Watkins
fleetingbits,FleetingBits
SoHaZadeh,SoHa Zadeh
scottdomes_dev,Scott Domes
RoeiSchuster,Roei Schuster
joliegans,Jolie
Mononofu,Julian Schrittwieser
jn_ahuja,Janvi Ahuja
samcjordan_,Sam Jordan
ForssSofia,sofia forss
DefenseAnalyses,Defense Analyses and Research Corporation
parconley,Parker Conley
eurydicelives,eurydice
NinaPanickssery,Nina
