username,display_name
ESYudkowsky,Eliezer Yudkowsky 
_akhaliq,AK
goodside,Riley Goodside
EMostaque,Emad
nearcyan,near
RichardMCNgo,Richard Ngo
typedfemale,typedfemale
arankomatsuzaki,Aran Komatsuzaki
MichaelTrazzi,Michaël Trazzi
AnthropicAI,Anthropic
michael_nielsen,Michael Nielsen
robertskmiles,Rob Miles
BlancheMinerva,Stella Biderman
NeelNanda5,Neel Nanda
robinhanson,Robin Hanson
repligate,j⧉nus
nickcammarata,Nick
Miles_Brundage,Miles Brundage
woj_zaremba,Wojciech Zaremba
ericjang11,Eric Jang
EigenGender,EigenGender 
chrmanning,Christopher Manning
hugo_larochelle,Hugo Larochelle
drfeifei,Fei-Fei Li
kaime,khalid
jessicadai_,jessica dai
MarroSamuele,Samuele Marro
lilysun004,lily (xiaoqing)
kaicathyc,Kai
chrissyykat,chrissy
jennsun,jenn 
onehappyfellow,One Happy Fellow
tomekkorbak,Tomek Korbak
tmychow,trevor (taylor’s version)
zeynebnkaya,Zeyneb Kaya
goth600,@goth
adancerdances,Madeleine Song
mike64_t,mike64_t
yaroslavvb,Yaroslav Bulatov
zach_yadegari,Zach Yadegari
lovebylucylu,Lucy
