username,display_name
tkipf,Thomas Kipf
oddclaw,anish
mreflow,Matt Wolfe
icreatelife,Kris Kashtanova
eliasroman,Elias Roman
ronnyvotel,ronnyvotel
roelofbotha,Roelof Botha
thorwebdev,Thor 雷神 
osanseviero,Omar Sanseviero
grutzik_petra,Petra Grutzik
Team_Greenfield,Greenfield Team!
omarsar0,elvis
medhini_n,Medhini Narasimhan
ErikaCoaches, Coach Erika
kelvinckchan,Kelvin Chan
chipro,Chip Huyen
jaywhang_,Jay Whang
koraykv,koray kavukcuoglu
matiii,Mati Staniszewski
OriolVinyalsML,Oriol Vinyals
abshkbh,Abhishek Bhardwaj
StanfordAILab,Stanford AI Lab
stanfordnlp,Stanford NLP Group
mchang21,Ming-Wei Chang
VidsSrinivasan,Vidhya Srinivasan
kinwong,Ricky Wong
shresbm,Shrestha Basu Mallick
PeterAttiaMD,Peter Attia
hubermanlab,"Andrew D. Huberman, Ph.D."
bryan_johnson,Bryan Johnson
willahmed,Will Ahmed
nmatares,Nick Matarese
shlomifruchter,Shlomi Fruchter
patrickc,Patrick Collison
davidpantera_,David Pantera
andrewbunner,Andrew Bunner
korymath,Kory Mathewson
triswarkentin,Tris Warkentin
GoogleDeepMind,Google DeepMind
clarisse_neu,Clarisse Neu
