username,display_name
goodside,Riley Goodside
EMostaque,Emad
ESYudkowsky,Eliezer Yudkowsky 
yacineMTB,kache
typedfemale,typedfemale
goth600,@goth
nickcammarata,Nick
ai__pub,AI Pub
RichardMCNgo,Richard Ngo
goblinodds,goblin waifu
arankomatsuzaki,Aran Komatsuzaki
thecaptain_nemo,Nemo
EigenGender,EigenGender 
algekalipso,"Captain Pleasure, Andrés Gómez Emilsson"
AnthropicAI,Anthropic
ericjang11,Eric Jang
sharifshameem,Sharif Shameem
RiversHaveWings,Rivers Have Wings
robertskmiles,Rob Miles
MasterTimBlais,Tim is Making Things In MTL Until Further Notice
mspringut,Micah Springut
stanfordnlp,Stanford NLP Group
chrmanning,Christopher Manning
maxhodak_,Max Hodak
bobmcgrewai,Bob McGrew
TylerAlterman,Tyler Alterman is in monkmode (but still tweeting)
andrewmccalip,Andrew McCalip
lfschiavo,Larissa Schiavo
maxmarchione,Max Marchione
ericzakariasson,eric zakariasson
johnloeber,John Loeber 
Bonecondor,Chairman Birb Bernanke
tryramp,Ramp
andy_l_jones,andy jones
willllliam,william
noahmacca,Noah MacCallum
saffronhuang,Saffron Huang
ConsensusGurus,Consensus Media
hubermanlab,"Andrew D. Huberman, Ph.D."
coffeebreak_YT,Coffeezilla
