username,display_name
macrocephalopod,cephalopod
bennpeifert,Benn Eifert 
SoullessAnalyst,Soulless Analyst
the_P_God,
powerbottomdad1,sucks
gbrl_dick,Gabriel
typedfemale,typedfemale
thecaptain_nemo,Nemo
ad0rnai,carl
itsmarkmoran,MARK MORAN
ctjlewis,Lewis
rvc330,Dimes Square Holdings LP
goth600,@goth
10x_er,10x Engineer
liensofnewyork,liens of new york
enlightenedcoop,Cooper
beffjezos,Beff (e/acc)
spooky_JL,Spooky JL
DadInvest,J.D. Banker
Duderichy,the Rich
reed,reed
thomasbsauer,Tom Sauer
bcherny,Boris Cherny
lilianweng,Lilian Weng
deedydas,Deedy
charlicohen,charli cohen
chat_SBC,chatSBC
ramez,Ramez Naam
brookeleblanc,Brooke LeBlanc
redtachyon,Ariel
zxlava,lala
jfeiwell,Jeff Feiwell
SarvasvKulpati,sarv
Prof_Kalkyl,Oliver ೫
jasminecoded_,jasmine
hamishmckenzie,Hamish McKenzie
theaustinlyons,Austin Lyons
skbjml,Sakib Jamal
kelseymwhelan,Kelsey Rosenblum
Ebitduhmommy,Eastern Euro Girl
neharedy,neha
alexeheath,Alex Heath
