username,display_name
paulg,Paul Graham
nikitabier,Nikita Bier
amasad,Amjad Masad
pitdesi,Sheel Mohnot
levie,Aaron Levie
shreyas,Shreyas Doshi
petergyang,Peter Yang
sarthakgh,Sar Haribhakti
tanayj,Tanay Jaipuria
Suhail,Suhail
justindross,JD Ross
jeff_weinstein,Jeff Weinstein
lennysan,Lenny Rachitsky
akothari,Akshay Kothari
patio11,Patrick McKenzie
zachweinberg,Tweets from Zach Weinberg
scottbelsky,scott belsky
GarshytHoel,harsh
zoink,Dylan Field
jaltma,Jack Altman
tsaicapital,Christopher Tsai
ctindale,Craig Tindale
JeffDean,Jeff Dean
AdamLMahoney,adam mahoney (he/him)
jparkerholder,Jack Parker-Holder
yanatweets,Yana Welinder
nedoleary,Ned O'Leary
grx_xce,Grace Li
bephrem,Benyam Ephrem
mavolpi,Mike Volpi
helen_min,Helen Min
fofrAI,fofr
masonwang025,Mason Wang
stochasticchasm,stochasm
JustJake,Jake
seflless,Francois Laberge 
Vtrivedy10,Viv
1a3orn,1a3orn
ti_morse,Ti Morse
ekuyda,Eugenia Kuyda
achowdhery,Aakanksha Chowdhery
