username,display_name
steveruizok,Steve Ruiz
_paulshen,Paul Shen
geoffreylitt,Geoffrey Litt
paulg,Paul Graham
goodside,Riley Goodside
maxkrieger,Max
sc13ts,No longer here
patio11,Patrick McKenzie
michael_nielsen,Michael Nielsen
schickling,Johannes Schickling
andy_matuschak,Andy Matuschak
tonofcrates,Will Crichton
ekzhang1,Eric Zhang
mattyglesias,Matthew Yglesias
stevekrouse,Steve Krouse
nickcammarata,Nick
simonw,Simon Willison
matt_levine,Matt Levine
a16z,a16z
zephyr_z9,Zephyr
substrate,Substrate
AirDistrict,Bay Area Air Quality
joon_s_pk,Joon Sung Park
DiracInc,Dirac
nidmarti,Aditya Nidmarti
adambinksmith,Adam Binksmith
oh_that_hat,Hattie Zhou
__niki_howe__,Niki Howe
joshmpollock,Josh Pollock
FutureForumFdn,Future Forum
trishume,Tristan Hume
NWSBayArea,NWS Bay Area 
jtvhk,James Hill-Khurana
georainbolt,rainbolt
0b0x0d,0b0x0d
Rich_Harris,Rich Harris
jmftrindade,Joana M. F. da Trindade
MichaelFiller,Michael Filler
danieljacksoncs,Daniel Jackson
ftxfuturefund,Future Fund
katie_schiefer,Katie Schiefer
