username,display_name
soumithchintala,Soumith Chintala
svlevine,Sergey Levine
giffmana,Lucas Beyer (bl16)
ericjang11,Eric Jang
hausman_k,Karol Hausman
percyliang,Percy Liang
animesh_garg,Animesh Garg
RichardSSutton,Richard Sutton
OriolVinyalsML,Oriol Vinyals
srush_nlp,Sasha Rush
EugeneVinitsky,Eugene Vinitsky 
danijarh,Danijar Hafner
tdietterich,Thomas G. Dietterich
zacharylipton,Zachary Lipton
beenwrekt,Ben Recht
shaneguML,Shane Gu
kevin_zakka,Kevin Zakka
lilianweng,Lilian Weng
wightmanr,Ross Wightman
playerzero_ai,PlayerZero
AdamLMahoney,adam mahoney (he/him)
JacksonKernion,Jackson Kernion
CadeGordonML,Cade Gordon
DamienERNST1,Damien ERNST
kvfrans,Kevin Frans
arthurallshire,Arthur Allshire
watneyrobotics,Watney Robotics
fangchenliu_,Fangchen Liu
MatXComputing,MatX
ToruO_O,Toru
Yuhu_ai_,Yuhuai (Tony) Wu
younggeng,Xinyang (Young) Geng
mckbrando,Brandon McKinzie
EdwardMehr,Edward Mehr
adcock_brett,Brett Adcock
jesselyu,Jesse Lyu
michielrauws2,Michiel Rauws
YutongBAI1002,Yutong Bai
genmoai,Genmo
