username,display_name
TurnerNovak,Turner Novak 
patrick_oshag,Patrick OShaughnessy
sarthakgh,Sar Haribhakti
eriktorenberg,Erik Torenberg
divine_economy,david phelps
nateliason,Nat Eliason
ljin18,Li Jin
mariogabriele,Mario Gabriele 
lmcorrigan1,Liam Corrigan
pfau,David Pfau
abcampbell,Campbell
jimprosser,Jim Prosser
JonathanRoss321,Jonathan Ross
RealChalamet,Timothée Chalamet
pratyushbuddiga,Pratyush
lukeigel,Luke Igel
CalebChamberla6,Caleb (OSH Cut)
johnkrausphotos,John Kraus
lizwessel,Liz Wessel
DrNRouleau,Nicolas Rouleau
glangley,Garrett Langley
lbolord,leveraged buyout lord
JeffDean,Jeff Dean
gregoryblotnick,Gregory Blotnick
NASAAdmin,NASA Administrator Jared Isaacman
ali_sivi,bald ann supreme
thesephist,Linus
scottyujan,Scott Yu-Jan
ryanzip,Ryan Oksenhorn
lil_dill,Katie Dill
embeeargh,Matthew Roberts
maxwellfarrens,Max Farrens
zackrosen_,Zack Rosen
uninsightful,nikhil
mattcynamon,Matt Cynamon
RyanLizza,Ryan Lizza
usgraphics,U.S. Graphics Company
rtwlz,Riley Walz
travisk,travis kalanick
lucasbagnocvaz,Lucas Vaz
AryVaidya,Ary Vaidya
ladanuzhna,lada
ResearchNgo,Richard
