username,display_name
paulg,Paul Graham
tobi,tobi lutke
amasad,Amjad Masad
BillAckman,Bill Ackman
Joshuabrowder,Joshua Browder
davegirouard,Dave Girouard
patio11,Patrick McKenzie
rabois,Keith Rabois
Upstart,Upstart
JTLonsdale,Joe Lonsdale
DanielSLoeb1,Daniel S. Loeb
Tyler_Okland_MD,"Tyler Okland, MD"
FoundersPodcast,David Senra
naterez94,Nathan Resnick
JoanneLeeJacobs,Joanne Jacobs
scottew,Scott Wessman
ArmandDoma,Armand Domalewski
sbkaufman,Scott Barry Kaufman 
paleonormie,pnorm
eigenrobot,eigenrobot
Musa_alGharbi,Musa al-Gharbi
drfeifei,Fei-Fei Li
JeffDean,Jeff Dean
13yearoldvc,jessy
CliffordAsness,Clifford Asness
ArfurRock,Arfur Rock
ethanrthornton,Ethan Thornton
DataRepublican,DataRepublican (small r)
anabology,anabology
bscholl,Blake Scholl 
CRPakaluk,Catherine Ruth Pakaluk
YeOldSentinelHQ,Sentinel
post_liberal,Pete
Peaceful_Tips,Luke Adsit | Peaceful Parenting Coach
charliewu,Charlie Wu
dissproportion,Dissproportionately
itsurboyevan,Evan Armstrong
pronounced_kyle,Christian Keil
tracewoodgrains,TracingWoodgrains
AngadDaryani,Angad Daryani
