username,display_name
TrentonBricken,Trenton Bricken
AbieRohrig,Abie Rohrig
willccbb,will brown
Googleorg,Google.org
Theteamatx,"X, The Moonshot Factory"
GoogleForHealth,Google for Health
AmazonScience,Amazon Science
AIatMeta,AI at Meta
metaai,AI at Meta
PascalMettes,Pascal Mettes
HazyResearch,hazyresearch
neur_reps,Symmetry and Geometry in Neural Representations
belizgunel,Beliz Gunel
danofer,"Dan Ofer (Was @ICML,@Worldcon )"
lucia_quirke,Lucia Quirke
KihoPark_,Kiho Park
EricSun50,Eric Sun
GRaM_workshop,Gram Workshop
douwekiela,Douwe Kiela
candacerossio,Candace Ross
mirandahzhang,Miranda Zhang
seb_ruder,Sebastian Ruder
JeffDean,Jeff Dean
maxhodak_,Max Hodak
megan_richards_,Megan Richards
sen_r,Senthooran Rajamanoharan
diatkinson,David Atkinson
Osmo_Labs,Osmo
awiltschko,Alex Wiltschko
yixin_lin_,Yixin Lin
ArthurConmy,Arthur Conmy
NeelNanda5,Neel Nanda
jacobdunefsky,Jacob Dunefsky
chrismdesa,Christopher De Sa
karen_ullrich,Dr. Karen Ullrich
georgiedorothea,Georgina Dorothea 
DaliaMizikovsky,Dalia Mizikovsky
ariadnavillam,Ariadna Villanueva
goth600,@goth
geometric_intel,Geometric Intelligence Lab
