username,display_name
davidrliu,David R. Liu
NatureBiotech,Nature Biotechnology
arjunrajlab,Arjun Raj
UrnovFyodor,Fyodor Urnov
anshulkundaje,Anshul Kundaje
NikoMcCarty,Niko McCarty.
ElliotHershberg,Elliot Hershberg
MoKhalilLab,Mo Khalil
NicoleGaudelli,Nicole M. Gaudelli
omarabudayyeh,Omar Abudayyeh
srikosuri,Sri Kosuri
sethbannon,Seth Bannon
SynBio1,Jake Wintermute 
JoshTycko,Josh Tycko
jgooten,Jonathan Gootenberg
jcornlab,Jacob Corn
JSheltzer,Jason Sheltzer
aliceyting,Alice Ting
jaybradner,"Jay Bradner, M.D."
JuliaJoung,Julia Joung
JeffDean,Jeff Dean
steipete,Peter Steinberger
lilianweng,Lilian Weng
agarwl_,Rishabh Agarwal
spikebrehm,Spike Brehm
Lingling_Wei,Lingling Wei 魏玲灵
frankjguzzone,Frank J. Guzzone
MargauxForcione,Margaux Forcione
kjaved_,Khurram Javed
ZeelMPatel,Zeel Patel
JeremySternLA,Jeremy Stern
jhanatech,Jhourney
israelslod,Izzy
vhankes,Vince Hankes
JessLozanoS,jess lozano schmitt
mmmbchang,Michael Chang
cmikeh2,Connor Holmes
McaleerStephen,Stephen McAleer
tejalpatwardhan,Tejal Patwardhan
rubicon59,rubicon59
