username,display_name
yoavgo,(((ل()(ل() 'yoav))))
arankomatsuzaki,Aran Komatsuzaki
kchonyc,Kyunghyun Cho
srush_nlp,Sasha Rush
_jasonwei,Jason Wei
chrmanning,Christopher Manning
NeurIPSConf,NeurIPS Conference
jacobandreas,Jacob Andreas
AnthropicAI,Anthropic
sleepinyourhat,Sam Bowman
roydanroy,Dan Roy
gneubig,Graham Neubig
yoavartzi,Yoav Artzi
svlevine,Sergey Levine
sarahookr,Sara Hooker
zacharylipton,Zachary Lipton
tallinzen,Tal Linzen
Tim_Dettmers,Tim Dettmers
douwekiela,Douwe Kiela
OfirPress,Ofir Press
abshkbh,Abhishek Bhardwaj
rsalakhu,Russ Salakhutdinov
hugo_larochelle,Hugo Larochelle
arthurmensch,Arthur Mensch
MarietjeSchaake,Marietje Schaake
MLCommons,MLCommons
m_ryabinin,Max Ryabinin
ibab,Igor Babuschkin
kevin_klyman,Kevin Klyman
vipulved,Vipul Ved Prakash
AlexCEngler,Alex Engler
arena,lmarena.ai
inflectionAI,Inflection AI
random_walker,Arvind Narayanan
lxuechen,Xuechen Li
PeterHndrsn,Peter Henderson
lilianweng,Lilian Weng
yifan_mai,Yifan
eladgil,Elad Gil
