username,display_name
DrJimFan,Jim Fan
AIatMeta,AI at Meta
soumithchintala,Soumith Chintala
ericjang11,Eric Jang
woj_zaremba,Wojciech Zaremba
percyliang,Percy Liang
EugeneVinitsky,Eugene Vinitsky 
AnthropicAI,Anthropic
Miles_Brundage,Miles Brundage
svlevine,Sergey Levine
kchonyc,Kyunghyun Cho
jackclarkSF,Jack Clark
ykilcher,Yannic Kilcher 
OriolVinyalsML,Oriol Vinyals
RichardSSutton,Richard Sutton
shaneguML,Shane Gu
natashajaques,Natasha Jaques
_jasonwei,Jason Wei
zacharylipton,Zachary Lipton
tomgoldsteincs,Tom Goldstein
ACapitalLP,A Capital
JeffDean,Jeff Dean
VCBrags,VCs Congratulating Themselves 
deredleritt3r,prinz
yubai01,Yu Bai
oleg_murk,Oleg Mürk
philhchen,Phil Chen
avi_collis,Avinash (Avi) Collis
RuiqiGao,Ruiqi Gao
hauntsaninja,Shantanu Jain
apples_jimmy,Jimmy Apples 
BarrAlexandra,Alexandra Barr
sherwinwu,Sherwin Wu
OliviaGWatkins2,Olivia Grace Watkins
denny_zhou,Denny Zhou
AdrienLE,Adrien Ecoffet
alex_yehya,Alex Yeh
NaomiBashkansky,Naomi Bashkansky
mims,Christopher Mims 
