username,display_name
soumithchintala,Soumith Chintala
percyliang,Percy Liang
demishassabis,Demis Hassabis
PetarV_93,Petar Veličković
kchonyc,Kyunghyun Cho
AnthropicAI,Anthropic
OriolVinyalsML,Oriol Vinyals
zacharylipton,Zachary Lipton
NandoDF,Nando de Freitas
maxjaderberg,Max Jaderberg
janleike,Jan Leike
_rockt,Tim Rocktäschel
jacobandreas,Jacob Andreas
ZoubinGhahrama1,Zoubin Ghahramani
deedydas,Deedy
antigravity,Google Antigravity
LiamFedus,William Fedus
ThomasOrTK,Thomas Kurian
thefox,Nick Fox
chrmanning,Christopher Manning
SleeperJets,SleeperJets
HoopsCrave,Hoops Crave
ekindogus,Ekin Dogus Cubuk
xkcdrss,XKCD
VisualCap,Visual Capitalist
Kasparov63,Garry Kasparov
wtgowers,Timothy Gowers @wtgowers
GoogleDeepMind,Google DeepMind
halhod,hal 
Avsecz,Žiga Avsec
OpenAI,OpenAI
FryRsquared,Hannah Fry
AccelerateSci,Accelerate_Science
danariely,Dan Ariely
mattwridley,Matt Ridley
TechCrunch,TechCrunch
vijaypande,Vijay Pande
zicokolter,Zico Kolter
