username,display_name
_ghorbani,Behrooz Ghorbani
makro_ai,Makro
Skiminok, Alex Polozov
strikervp,Striker Venture Partners
FlintCasey,Casey Flint
SaraSteinhurst,Sara Steinhurst
francismccann14,Francis McCann
achowdhery,Aakanksha Chowdhery
reflection_ai,Reflection AI
MishaLaskin,Misha Laskin
DarioAmodei,Dario Amodei
ilyasut,Ilya Sutskever
leopoldasch,Leopold Aschenbrenner
gdb,Greg Brockman
Collateral_com,Niko Ludwig
vkhosla,Vinod Khosla
Gotziumcom,Gotzium
RishiSunak,Rishi Sunak
GoogleDeepMind,Google DeepMind
OpenAI,OpenAI
sama,Sam Altman
JeremyClarkson,Jeremy Clarkson
DanRose999,Dan Rose
hugo_larochelle,Hugo Larochelle
drfeifei,Fei-Fei Li
BBCBreaking,BBC Breaking News
goodfellow_ian,Ian Goodfellow
ylecun,Yann LeCun
davidasinclair,David Sinclair
dimmu,dimmu
TheEconomist,The Economist
SpaceX,SpaceX
demishassabis,Demis Hassabis
lexfridman,Lex Fridman
BillGates,Bill Gates
elonmusk,Elon Musk
