username,display_name
neelajj,Neel Ajjarapu
jasminericegirl,eat soup
CommunityNotes,Community Notes
iamwill,will.i.am
awilkinson,Andrew Wilkinson
stratechery,Stratechery
Konstantine,Konstantine Buhler
sonyatweetybird,Sonya Huang 
soraofficialapp,Sora
jacobeffron,Jacob Effron
TheRealAdamG,Adam.GPT
AarushSelvan,Aarush Selvan
santa_kaus,Kaustubh Prabhakar
kalinowski007,Caitlin Kalinowski
starryhe214,Siqi He
blakeir,Blake Robbins
mmmbchang,Michael Chang
Hansenq,Hansen Qian
Varun,varun shetty
mcuban,Mark Cuban
garrytan,Garry Tan
SamuelAlbanie,Samuel Albanie 
JeffDean,Jeff Dean
maxhodak_,Max Hodak
npew,Peter Welinder
jachiam0,Joshua Achiam
nsharp17,Nathan Sharp
christinahkim,christina kim
ChristinaHartW,Christina Wadsworth Kaplan
DanielleFong,Danielle Fong 
blakesamic,Blake Samic
natanielruizg,Nataniel Ruiz
danielgross,Daniel Gross
TheNewsTrending,Breaking News
xmuse_,Muse
arrahman,A.R.Rahman
moseskagan,Moses Kagan
venturetwins,Justine Moore
tbpn,TBPN
doomie,Dumitru Erhan
Ranidu,ranidu
