username,display_name
paulg,Paul Graham
amasad,Amjad Masad
Austen,Austen Allred
levie,Aaron Levie
Suhail,Suhail
garrytan,Garry Tan
alexandr_wang,Alexandr Wang
Plinz,Joscha Bach
EMostaque,Emad
ESYudkowsky,Eliezer Yudkowsky 
HarryStebbings,Harry Stebbings
bchesky,Brian Chesky
DavidDeutschOxf,David Deutsch
natfriedman,Nat Friedman
patrickc,Patrick Collison
0interestrates,rahul
rrhoover,Ryan Hoover
danielgross,Daniel Gross
nickcammarata,Nick
miramurati,Mira Murati
ChristinaHartW,Christina Wadsworth Kaplan
BoyuanChen0,Boyuan Chen
ah20im,Ahmed
BleacherReport,Bleacher Report
stephenasmith,Stephen A Smith
TuckerCarlson,Tucker Carlson
santa_kaus,Kaustubh Prabhakar
atootoon,Amin Tootoonchian
tim_zaman,Tim Zaman
DeryaTR_,"Derya Unutmaz, MD"
khoomeik,Rohan Pandey
gauravkapadia,Gaurav Kapadia
SusanDReynolds,Susan Dyer Reynolds
eliza_luth,Lu Liu
kenjihata,Kenji Hata
clu_cheng,Cheng Lu
athyuttamre,Atty Eleti
flowersslop,Flowers ☾
BLCNYY,BLCNYY
MikhailPavlov5,Mikhail Pavlov
ColinWei11,Colin Wei
kaicathyc,Kai
Laurentia___,Laurentia Romaniuk
