username,display_name
lucy_guo,Lucy Guo
jaltma,Jack Altman
joshelman,Josh Elman
briannekimmel,Brianne Kimmel
martin_casado,martin_casado
jmj,Jeff Morris Jr.
loganbartlett,logan bartlett
andrew__reed,Andrew Reed
immad,immad
zachperret,Zachary Perret
abcampbell,Campbell
JacksonKernion,Jackson Kernion
john_c_wagner,John Wagner
ankesh_anand,Ankesh Anand
Dkirtley,David Kirtley
NASAAdmin,NASA Administrator Jared Isaacman
hidecloud,hidecloud
TitmouseInc,Titmouse Animation
SebastianSeung,Sebastian Seung
RealProducerBen,Producer Ben
abshkbh,Abhishek Bhardwaj
lilianweng,Lilian Weng
m2jr,"Mike Maples, Jr"
AngryTomtweets,Angry Tom
rishicomplex,Rishi Mehta
j0hnwang,John Wang
ScienceUnderSec,Darío Gil
Si_Boehm,Simon Boehm
flooburrito,Fabi
YuchenHe07,Yuchen He
Ani_nlp,Ani Nrusimha
noahdgoodman,noahdgoodman
ma_tay_,Taylor Sorensen
TheAndiPenguin,Andi Peng
jerber888,Jeremy Berman
NuandLLC,Nuand
RoboPapers,RoboPapers
fzyzcjy,fzyzcjy
rpoo,Ross
KatiaEarth,Katia Karpenko
