username,display_name
yoavgo,(((ل()(ل() 'yoav))))
soumithchintala,Soumith Chintala
jeremyphoward,Jeremy Howard
arankomatsuzaki,Aran Komatsuzaki
deliprao,Delip Rao e/σ
RichardSocher,Richard Socher
huggingface,Hugging Face
percyliang,Percy Liang
iamtrask,⿻ Andrew Trask
srush_nlp,Sasha Rush
ericjang11,Eric Jang
kchonyc,Kyunghyun Cho
julien_c,Julien Chaumond
ClementDelangue,clem 
chrmanning,Christopher Manning
savvyRL,Rosanne Liu
ykilcher,Yannic Kilcher 
radekosmulski,Radek Osmulski
bhutanisanyam1,Sanyam Bhutani
JayAlammar,Jay Alammar
steipete,Peter Steinberger
gregoryblotnick,Gregory Blotnick
anquetil,Martin
JulieKallini,Julie Kallini 
vincentbosch,Vincent Bosch
mhahn29,Michael Hahn
pascalefung,Pascale Fung
SGhalebikesabi,Sahra Ghalebikesabi
weidingerlaura,Laura Weidinger
shaneguML,Shane Gu
vishrav,Vishrav Chaudhary
lushimabucoro,Luisa Shimabucoro
hannahrosekirk,Hannah Rose Kirk
robinson_n8,Nathaniel R. Robinson
sylvieshi00,Sylvie Shi
luizapzbn,Luiza Pozzobon
johnamqdang,John Dang
clefourrier,Clémentine Fourrier 
