username,display_name
robwiss,Rob Wissmann
suchenzang,Susan Zhang
rwgcomms,RWG Mobile 
SpencrGreenberg,Spencer Greenberg 
juliagalef,Julia Galef
apples_jimmy,Jimmy Apples 
apolloaievals,Apollo Research
bilalchughtai_,bilal
davidbau,David Bau
elonmusk,Elon Musk
So8res,Nate Soares 
jkcarlsmith,Joe Carlsmith
ajeya_cotra,Ajeya Cotra
robbensinger,Rob Bensinger 
geoffreyirving,Geoffrey Irving
eshear,Emmett Shear
ilyasut,Ilya Sutskever
karaswisher,Kara Swisher
janleike,Jan Leike
GoogleDeepMind,Google DeepMind
AnthropicAI,Anthropic
stanfordnlp,Stanford NLP Group
JeffDean,Jeff Dean
soumithchintala,Soumith Chintala
brianchristian,Brian Christian
KatjaGrace,Katja Grace 
CHAI_Berkeley,Center for Human-Compatible AI
Charlie_R_S,Charlie Rogers-Smith
NatalieRCargill,Natalie Cargill
Liv_Boeree,Liv Boeree
JacobSteinhardt,Jacob Steinhardt
laurolangosco,Lauro
NeelNanda5,Neel Nanda
AirportCGN,Köln Bonn Airport
robertwiblin,Rob Wiblin
AmandaAskell,Amanda Askell
RichardMCNgo,Richard Ngo
KelseyTuoc,Kelsey Piper
jackclarkSF,Jack Clark
DavidSKrueger,David Krueger
