username,display_name
hardmaru,hardmaru
goodside,Riley Goodside
Miles_Brundage,Miles Brundage
ylecun,Yann LeCun
paulg,Paul Graham
BorisMPower,Boris Power
RichardMCNgo,Richard Ngo
woj_zaremba,Wojciech Zaremba
AnthropicAI,Anthropic
GoogleDeepMind,Google DeepMind
janleike,Jan Leike
waitbutwhy,Tim Urban
miramurati,Mira Murati
levelsio,@levelsio
ESYudkowsky,Eliezer Yudkowsky 
npew,Peter Welinder
sharifshameem,Sharif Shameem
arankomatsuzaki,Aran Komatsuzaki
jachiam0,Joshua Achiam
Scobleizer,Robert Scoble
marcusabramovi1,Marcus Abramovitch
dpkingma,Durk Kingma
chrmanning,Christopher Manning
noahedelman02,Noah Edelman
lacker,Kevin Lacker
AndrewCurran_,Andrew Curran
NatPurser,Nat Purser
michaelhpage,page
bb_fresh,Ben Burke
thlarsen,Thomas Larsen
dhruvtkpatel,Dhruv Patel
nrmarda,Nik Marda
bstein80,Brendan Steinhauser
dylhunn,Dylan Hunn
g_leech_,gavin leech (Non-Reasoning)
haydenfield,Hayden Field
calebwatney,Caleb Watney
testingham,tom cunningham
John_Stepek,John Stepek
AvitalBalwit,Avital Balwit
johnjhorton,John Horton
