username,display_name
yoavgo,(((ل()(ل() 'yoav))))
percyliang,Percy Liang
kchonyc,Kyunghyun Cho
arankomatsuzaki,Aran Komatsuzaki
srush_nlp,Sasha Rush
chrmanning,Christopher Manning
AnthropicAI,Anthropic
Miles_Brundage,Miles Brundage
tallinzen,Tal Linzen
_jasonwei,Jason Wei
YiTayML,Yi Tay
gneubig,Graham Neubig
jacobandreas,Jacob Andreas
savvyRL,Rosanne Liu
FelixHill84,Felix Hill
sarahookr,Sara Hooker
zacharylipton,Zachary Lipton
yoavartzi,Yoav Artzi
danish037,Danish Pruthi
soldni,Luca Soldaini 
JeffDean,Jeff Dean
lilianweng,Lilian Weng
timfduffy,Tim Duffy
DanielleFong,Danielle Fong 
MachinePix,MachinePix
hankgreen,Hank Green
createstreets,createstreets
NYC_DOT,NYC DOT
a_nnawang,Anna Wang
jifan_zhang,Jifan Zhang
tarngerine,julius tarng cyber inspector
hypersoren,Soren Larson
EdwardTufte,Edward Tufte
RepEEdwards,Hon. Elizabeth Edwards
iamaheron_,heron
OBalcells,Oscar Balcells Obeso
_NathanCalvin,Nathan Calvin
