username,display_name
jsngr,Jordan Singer
brian_lovin,Brian Lovin
davidhoang,David Hoang
rsms,Rasmus Andersson
mds,MDS
rogie,˗ˏˋ rogie ˎˊ˗
joshm,Josh Miller
donaldjewkes,donald
NelsonNoa,Nelson Noa
supermemory,supermemory
trycrosspost,Crosspost
bcherny,Boris Cherny
z0oks,Andrew Gadzik ▲
svlevine,Sergey Levine
SirKneeland,John Kneeland
_aklil0,aklil
odysseymovie,The Odyssey Movie
rtwlz,Riley Walz
nathanbaugh27,Nathan Baugh
Skye,skye
TOEwithCurt,Curt Jaimungal
JonathanSadeghi,Jonathan Sadeghi
antifraudco,The Antifraud Company
SleeperJets,SleeperJets
CrusoeAI,Crusoe
operatecrm,Operate
theaustlee,Austin Lee
hannah_hearth,Hannah Hearth
Mkclements,Miles Clements
andrewmccalip,Andrew McCalip
rohankatyal29,Rohan Katyal (Hiring eng in SF)
vantaraai,Vantara AI
merycodes,Mery
johnlindquist,John Lindquist
zack_overflow,zack
AdamFrank4,Adam Frank
YaelBienenstock,Yaël Bienenstock
johnxie,John Xie
theonlyAyo,Ayo
tnkrdotai,tnkr
brysonkjones,Bryson Jones
