username,display_name
ylecun,Yann LeCun
hardmaru,hardmaru
rasbt,Sebastian Raschka
AIatMeta,AI at Meta
PyTorch,PyTorch
alfcnz,Alfredo Canziani
jeremyphoward,Jeremy Howard
giffmana,Lucas Beyer (bl16)
ericjang11,Eric Jang
Michael_J_Black,Michael Black
cHHillee,Horace He
sirbayes,Kevin Patrick Murphy
woj_zaremba,Wojciech Zaremba
iScienceLuvr,"Tanishq Mathew Abraham, Ph.D."
iamtrask,⿻ Andrew Trask
ClementDelangue,clem 
OriolVinyalsML,Oriol Vinyals
JeffDean,Jeff Dean
srush_nlp,Sasha Rush
steipete,Peter Steinberger
gregoryblotnick,Gregory Blotnick
ml_angelopoulos,Anastasios Nikolas Angelopoulos
ekindogus,Ekin Dogus Cubuk
drfeifei,Fei-Fei Li
hft_larp,hft
pjreddie,Joseph Redmon
ying11231,Ying Sheng
jkcarlsmith,Joe Carlsmith
sschoenholz,Sam Schoenholz
rogerw0108,Roger Wang
albanDesmaison,albanD
code_star,Cody Blakeney
ElanaPearl,Elana Simon
ZeyuanAllenZhu,"Zeyuan Allen-Zhu, Sc.D."
dome_271,dome | Outlier
CliffLattner,Cliff Lattner
woosuk_k,Woosuk Kwon
NadavTimor,Nadav Timor
