username,display_name
PalantirTech,Palantir
amitisinvesting,amit
arny_trezzi,Arny Trezzi
JTLonsdale,Joe Lonsdale
garrytan,Garry Tan
alexkshieh,Alex Shieh
brian_armstrong,Brian Armstrong
JakeMedwell,Jake Medwell
Scholars_Stage,T. Greer
davidmarcus,David Marcus
hamandcheese,Samuel Hammond 
PorterBerry,Porter Berry
rookisaacman,Jared Isaacman
Cernovich,Cernovich
eriktorenberg,Erik Torenberg
niubi,Bill Bishop
Jkylebass, Kyle Bass 
DAlperovitch,Dmitri Alperovitch
thechrisbuskirk,Chris Buskirk e/acc
michaelsobolik,Michael Sobolik
marcusabramovi1,Marcus Abramovitch
NASAAdmin,NASA Administrator Jared Isaacman
tbpn,TBPN
jordihays,Jordi Hays
BasedMikeLee,Mike Lee
isaiah_p_taylor,Isaiah Taylor - making nuclear reactors
RC_Greenway,Robert Greenway
DefenseAnalyses,Defense Analyses and Research Corporation
ShawnRyan762,Shawn Ryan
storyandscience,Story Co
RealJamesWoods,James Woods
CJHandmer,Casey Handmer
TheStalwart,Joe Weisenthal
ZacharyGraves,Zach Graves 
espricewright,Erin Price-Wright
michaelgwaltz,Ambassador Mike Waltz
RealTheoWold,Theo Wold
cdrsalamander,cdrsalamander
AaronBMacLean,Aaron MacLean
