username,display_name
yoavgo,(((ل()(ل() 'yoav))))
soumithchintala,Soumith Chintala
deliprao,Delip Rao e/σ
RichardSocher,Richard Socher
percyliang,Percy Liang
srush_nlp,Sasha Rush
chrmanning,Christopher Manning
kchonyc,Kyunghyun Cho
NeurIPSConf,NeurIPS Conference
gneubig,Graham Neubig
sleepinyourhat,Sam Bowman
cHHillee,Horace He
_jasonwei,Jason Wei
Thom_Wolf,Thomas Wolf
AkariAsai,Akari Asai
douwekiela,Douwe Kiela
jacobandreas,Jacob Andreas
yoavartzi,Yoav Artzi
FelixHill84,Felix Hill
tallinzen,Tal Linzen
chelseabfinn,Chelsea Finn
Alpha_Ex_LLC,Alpha_Ex_LLC
stanfordnlp,Stanford NLP Group
ryanandrewchi,Ryan Chi
zhangyt0704,Yutong Zhang
EyubogluSabri,Sabri Eyuboglu
polynoamial,Noam Brown
PangWeiKoh,Pang Wei Koh
ryansehrlich,Ryan Ehrlich
KumbongHermann,Hermann Kumbong
jordanjuravsky,Jordan Juravsky
houjun_liu,Houjun Liu
omri_uzan,Omri Uzan
abeirami,Ahmad Beirami
Mike_A_Merrill,Mike A. Merrill
_AndrewZhao,Andrew Zhao
JasperJJian,Jasper Jian
togethercompute,Together AI
anjiangw,Anjiang Wei
