username,display_name
soumithchintala,Soumith Chintala
giffmana,Lucas Beyer (bl16)
hausman_k,Karol Hausman
percyliang,Percy Liang
kchonyc,Kyunghyun Cho
OriolVinyalsML,Oriol Vinyals
EugeneVinitsky,Eugene Vinitsky 
natashajaques,Natasha Jaques
tdietterich,Thomas G. Dietterich
sedielem,Sander Dieleman
CsabaSzepesvari,Csaba Szepesvari
marcgbellemare,Marc G. Bellemare
natolambert,Nathan Lambert
jacobandreas,Jacob Andreas
dpkingma,Durk Kingma
ZoubinGhahrama1,Zoubin Ghahramani
j_foerst,Jakob Foerster
_rockt,Tim Rocktäschel
quantian1,Quantіan
abshkbh,Abhishek Bhardwaj
ThisThirsty,This Podcast is Making Me Thirsty Seinfeld Podcast
TimSalimans,Tim Salimans
janexwang,Jane Wang
qiyang_li,Qiyang (Colin) Li
xuxin_cheng,Xuxin Cheng
SongShuran,Shuran Song
SudeepDasari,Sudeep Dasari
coreylynch,Corey Lynch
sokrypton,Sergey Ovchinnikov
SurajNair_1,Suraj Nair
snasiriany,Soroush Nasiriany
vdean314,Victoria Dean @vdean.bsky.social
andyzengineer,Andy Zeng
StefanoErmon,Stefano Ermon
gstsdn,augustus odena
brandondamos,Brandon Amos
rowantmc,Rowan McAllister
