username,display_name
JTLonsdale,Joe Lonsdale
wolfejosh,Josh Wolfe
HarryStebbings,Harry Stebbings
alexandr_wang,Alexandr Wang
KTmBoyle,Katherine Boyle
rabois,Keith Rabois
mttgrmm,Matt Grimm
pitdesi,Sheel Mohnot
JoshuaSteinman,joshua steinman (
anduriltech,Anduril Industries
m2jr,"Mike Maples, Jr"
bznotes,Bilal Zuberi
luke_metro,Luke Metro
sarthakgh,Sar Haribhakti
eriktorenberg,Erik Torenberg
Pavel_Asparagus,Pavel Asparouhov
m_franceschetti,Matteo Franceschetti
vc,Jake Chapman 
lucy_guo,Lucy Guo
2112Power,Chris Power
SusieWiles,Susie Wiles
SpreadThread1,The Spread Thread
nidmarti,Aditya Nidmarti
JeffDean,Jeff Dean
ScottWu46,Scott Wu
russelljkaplan,Russell Kaplan
GregBarbaccia,Gregory Barbaccia
jsdeckard,Josh Deckard
StanfordReview,The Stanford Review
fidjissimo,Fidji Simo
drjfm_stanford,DrJFM - Juan C. Fernandez-Miranda MD -
gracegerwe,Grace Gerwe
chris05atm,Christopher Stokes
HussainSajwani,Hussain Sajwani
martinrdave1,Dave Martin
jordihays,Jordi Hays
FSnephew,festersnephew.eth
saquon,Saquon Barkley
Campusgrad,Campus
goth600,@goth
minney_cat,Minn
