username,display_name
typedfemale,typedfemale
AnthropicAI,Anthropic
cmuratori,Casey Muratori
JustineTunney,Justine Tunney
nearcyan,near
kipperrii,kipply
eatonphil,Phil Eaton
yminsky,Yaron (Ron) Minsky
thorstenball,Thorsten Ball
AmandaAskell,Amanda Askell
ArtirKel,José Luis Ricón Fernández de la Puente
pcwalton,Patrick Walton
atroyn,anton 
benkuhn,Ben Kuhn
Love2Code,Maxime Chevalier
altluu,Dan Luu
ocornut,Omar 
jacobrintamaki,Jacob Rintamaki
apaszke,Adam Paszke
divBy_zero,Eric Quinnell
t_andy_keller,Andy Keller
stanfordnlp,Stanford NLP Group
abshkbh,Abhishek Bhardwaj
__tinygrad__,the tiny corp
dropbella,Nova DasSarma (p̄/deacc)
leilavclark,Leila Clark
klyap_,Ker Lee Yap
sharadvikram,Sharad Vikram
epiqueras1,Enrique Piqueras
CJHandmer,Casey Handmer
nottombrown,Tom Brown
gadi_hutt,Gadi Hutt
jekbradbury,James Bradbury
diamant_ron,Ron Diamant
randommoleculez,Ankil Patel
multiply_matrix,mei
NilsIRL,Nils (e/scape)
Reshusaur,resham ☻
carrotburnt,Aadhav Vignesh
