username,display_name
paulg,Paul Graham
ID_AA_Carmack,John Carmack
hardmaru,hardmaru
fchollet,François Chollet
ylecun,Yann LeCun
rbranson,ricky b
_akhaliq,AK
MikeIsaac,rat king 
joulee,Julie Zhuo
michael_nielsen,Michael Nielsen
molly0xFFF,Molly White
floydophone,Pete Hunt 
mikeyk,Mike Krieger
CaseyNewton,Casey Newton
zoink,Dylan Field
ryannystrom,Ryan Nystrom
srush_nlp,Sasha Rush
jeremyphoward,Jeremy Howard
dwr,Dan Romero
alexandr_wang,Alexandr Wang
HuggingPapers,DailyPapers
quocleix,Quoc Le
SleeperJets,SleeperJets
seb_ruder,Sebastian Ruder
cmikeh2,Connor Holmes
ezhang887,Eric Zhang
danielfradin,Daniel Fradin
spawn,spawn
wholemars,Whole Mars Catalog
wltnwang,Welton Wang
ShitpostRock,Rock Solid
hamostaf04,hamza mostafa
mmmbchang,Michael Chang
jhyuxm,Jiahui Yu
christinahkim,christina kim
hauntsaninja,Shantanu Jain
yanndubs,Yann Dubois
Eric_Wallace_,Eric Wallace
nicknotfun,Nick Cooper
calvinfo,Calvin French-Owen
Dust_Org,DUST
