username,display_name
0interestrates,rahul
10x_er,10x Engineer
deepfates,
gbrl_dick,Gabriel
thecaptain_nemo,Nemo
cauchyfriend,shako
Duderichy,the Rich
alth0u,alth0u
nearcyan,near
eurydicelives,eurydice
shauseth,shaurya
Andr3jH,ᐱ ᑎ ᑐ ᒋ ᕮ ᒍ
skooookum,skooks
prerat,prerat
EigenGender,EigenGender 
liminal_warmth,Liminal Warmth 
gptbrooke,brooke bowman
MasterTimBlais,Tim is Making Things In MTL Until Further Notice
kitten_beloved,Kitten 
mimi10v3,˚♡⋆mimi ˚♡⋆｡☆∴
Xenoimpulse,psychosomatica
yminsky,Yaron (Ron) Minsky
jazzkitten,kate
stanfordnlp,Stanford NLP Group
rsalakhu,Russ Salakhutdinov
SchmidhuberAI,Jürgen Schmidhuber
Mononofu,Julian Schrittwieser
laurenbalik,Lauren Balik
meadowcult,grace
blizzy_mcguire,Blizzy
soft_fox_lad,fox
The_Numbat,Max Slater
anneouyang,Anne Ouyang
brian_eno_69,alexandra
telekineticpxls,𝖆𝖓𝖓 𝖌𝖆𝖔
vyasnikhil96,Nikhil Vyas
itsclivetime,Clive Chan
drisspg,driss guessous
bnkrft,Ben Kraft
Ruesavatar,rue
bfspector,Benjamin F Spector
prafdhar,Prafulla Dhariwal
wongmjane,Jane Manchun Wong
zou3519,Richard Zou
