username,display_name
paranirmal9,Nirmal B
amirbolous,amir
smsunarto,Scott Sunarto
gakonst,Georgios Konstantopoulos
paulg,Paul Graham
realGeorgeHotz,George Hotz 
personae_labs,Personae
kobigurk,Kobi Gurkan
maanav,Maanav Khaitan
tarunchitra,Tarun Chitra
_jzhao,Jacky
dcposch,DC
ansonyuu,anson ⁂
dcbuilder,dcbuilder.eth 
alexandr_wang,Alexandr Wang
lakshmansankar,lucky
nibnalin,Nalin
ekzhang1,Eric Zhang
protolambda,proto.eth
isabelunraveled,Isabel
esdeekidd,EsDeeKid
kuberdenis,Denislav Gavrilov
bcherny,Boris Cherny
stanfordnlp,Stanford NLP Group
chrmanning,Christopher Manning
rsalakhu,Russ Salakhutdinov
kieranklaassen,Kieran Klaassen
jenny_wen,jenny wen
mooohul,Mehul Raheja
davidsenra,David Senra
sundarpichai,Sundar Pichai
skeptrune,Nick Khami
CherrilynnZ,lele
yakuzeg,Yaku Zeg
MattMahanSJ,Mayor Matt Mahan
cowtwting,C O W
thisisgrantlee,Grant Lee
Quartr_App,Quartr
naveedlol,naveed
ManiarNatasha,Natasha Maniar
minafahmi,Mina Fahmi
sandbar,Sandbar
asteriskmgzn,Asterisk
