username,display_name
itsALLrisky,
ShytoshiKusama,Shytoshi Kusama™
dogecoin,Dogecoin
RobinhoodApp,Robinhood
ProTheDoge,SlumDOGE Millionaire
Web3Queenie,Queenie
DogecoinRise,Dogecoin Rise 
michilumin,Michi Lumin
TrumpAccounts,Trump Accounts
infoinvt,information investing
MollySOShea,Molly O’Shea
bscholl,Blake Scholl 
AetherfluxUSA,Aetherflux
BillAckman,Bill Ackman
sidbatra,Siddharth Batra
0xashensoul,AshenSoul
SECPaulSAtkins,Paul Atkins
MichaelDell,Michael Dell 
kfountou,Kimon Fountoulakis
AlchemyAmerican,Jesse Michels
EinsteinoWallSt,Peter Tuchman
JeffDean,Jeff Dean
steipete,Peter Steinberger
gregoryblotnick,Gregory Blotnick
haslindatv,Haslinda Amin
CryptoGamr,Chris Gonsalves
DM_Rubenstein,David M. Rubenstein
KoegelChri53403,Chris Koegel
satnam6502,Satnam Singh
ChrSzegedy,Christian Szegedy
iga_swiatek,Iga Świątek
saarsaar,saar gur
Criterion,Criterion Collection
travisk,travis kalanick
tbpn,TBPN
BaijuBhatt,Baiju Bhatt
mntruell,Michael Truell
cvpayne,Charles V Payne
atheorist,sarah
mamoonha,Mamoon Hamid
USAmbUK,Ambassador Warren Stephens
