username,display_name
hardmaru,hardmaru
GoogleDeepMind,Google DeepMind
soumithchintala,Soumith Chintala
ericjang11,Eric Jang
danielgross,Daniel Gross
jeremyphoward,Jeremy Howard
AnthropicAI,Anthropic
RichardSocher,Richard Socher
RichardMCNgo,Richard Ngo
OriolVinyalsML,Oriol Vinyals
Miles_Brundage,Miles Brundage
jackclarkSF,Jack Clark
JeffDean,Jeff Dean
pfau,David Pfau
svlevine,Sergey Levine
kchonyc,Kyunghyun Cho
npew,Peter Welinder
spolu,Stanislas Polu
janleike,Jan Leike
lilianweng,Lilian Weng
SleeperJets,SleeperJets
steipete,Peter Steinberger
gregoryblotnick,Gregory Blotnick
AGamick,Anastasia Gamick
model_mechanic,Aditya Ramesh
MWCvitkovic,Milan Cvitkovic
tobyordoxford,Toby Ord
EffectvAltruism,Effective Altruism
AmandaAskell,Amanda Askell
givingwhatwecan,Giving What We Can 
nickcammarata,Nick
johnschulman2,John Schulman
JoeBiden,Joe Biden
algekalipso,"Captain Pleasure, Andrés Gómez Emilsson"
arvind_io,Arvind Neelakantan
realDonaldTrump,Donald J. Trump
justinkan,Justin Kan
Benioff,Marc Benioff
bgreene,Brian Greene
