username,display_name
_akhaliq,AK
rasbt,Sebastian Raschka
AIatMeta,AI at Meta
YiMaTweets,Yi Ma
alfcnz,Alfredo Canziani
PyTorch,PyTorch
soumithchintala,Soumith Chintala
jeremyphoward,Jeremy Howard
Michael_J_Black,Michael Black
yoavgo,(((ل()(ل() 'yoav))))
CSProfKGD,Kosta Derpanis
ykilcher,Yannic Kilcher 
giffmana,Lucas Beyer (bl16)
huggingface,Hugging Face
NeurIPSConf,NeurIPS Conference
sirbayes,Kevin Patrick Murphy
percyliang,Percy Liang
mmbronstein,Michael Bronstein
kchonyc,Kyunghyun Cho
chelseabfinn,Chelsea Finn
prometheusmacro,Prometheus Research
rsalakhu,Russ Salakhutdinov
BrianRoemmele,Brian Roemmele
levparnas,Lev Parnas
_bbph_,_bbph_
shivithukral,Shivnath Thukral
SVG__Collection,Melodies & Masterpieces
imisra_,Ishan Misra
juanmiguelpino,Juan Pino
steeve,Steeve Morin
zml_ai,ZML
Roshan_Rinaldi,Roshan Rinaldi
andymstone,Andy Stone
AnjneyMidha,Anjney Midha
nxthompson,nxthompson
ScienceMagazine,Science Magazine
UnitreeRobotics,Unitree
Charlie_Hebdo_,Charlie Hebdo
kyleichan,Kyle Chan
