operator,follows,follows_display_name
Curiousjorge65,PennStateFball,Penn State Football
Curiousjorge65,OnwardState,Onward State
Curiousjorge65,coachjfranklin,James Franklin
Curiousjorge65,PSUBarstool,Barstool Penn State
Curiousjorge65,SeanFitzOn3,Sean Fitz
Curiousjorge65,GoPSUsports,Penn State Athletics
Curiousjorge65,McSorley_IX,Trace McSorley
Curiousjorge65,brandonshort43,Brandon Short
Curiousjorge65,Tali43,Adam Taliaferro
Curiousjorge65,jasoncabinda,Jason Cabinda
Curiousjorge65,haleyboy10,Grant Haley
Curiousjorge65,nickshirleyy,Nick shirley
Curiousjorge65,amendandpretend,Amend and Pretend
Curiousjorge65,NVIDIADC,NVIDIA Data Center
Curiousjorge65,NotebookLM,NotebookLM
Curiousjorge65,Polymarket,Polymarket
Curiousjorge65,tickerplus,TickerTrends 
Curiousjorge65,stockthoughts81,Uncovering Value
Curiousjorge65,arakharazian,Ara Kharazian
Curiousjorge65,abialecki,Andrew Bialecki
Curiousjorge65,MS_BASE44,Maor Shlomo
Curiousjorge65,SleeperJets,SleeperJets
Curiousjorge65,NASAAdmin,NASA Administrator Jared Isaacman
Curiousjorge65,birenbomb,Gabby Birenbaum
Curiousjorge65,AIStockSavvy,Hardik Shah
Curiousjorge65,Casspi18,Omri Casspi עומרי משה כספי
Curiousjorge65,Nominal_io,Nominal
Curiousjorge65,SalesforceNews,Salesforce News & Insights
Curiousjorge65,Jeffreyw5000,Jeff Weinstein 
Curiousjorge65,daniel_levine,Daniel Levine
Curiousjorge65,SzAriel,Ariel Szarfsztejn
Curiousjorge65,maticrobots,Matic Robots
Curiousjorge65,aniehenke,Alexander Niehenke
Curiousjorge65,Srwarrington,Sean Warrington
Curiousjorge65,LindyInvestor,Lindy Investor
Curiousjorge65,lacostejonathan,Jonathan Lacoste
Curiousjorge65,SecScottBessent,Treasury Secretary Scott Bessent
Curiousjorge65,ejogren,Erik Ogren
Curiousjorge65,Xometry,Xometry
Curiousjorge65,joeschmidtiv,Joe Schmidt IV
daltonc,garrytan,Garry Tan
daltonc,Suhail,Suhail
daltonc,alexandr_wang,Alexandr Wang
daltonc,ycombinator,Y Combinator
daltonc,bchesky,Brian Chesky
daltonc,jasonlk,Jason 
daltonc,rrhoover,Ryan Hoover
daltonc,patrickc,Patrick Collison
daltonc,natfriedman,Nat Friedman
daltonc,jaltma,Jack Altman
