researcher,follows,follows_display_name
_sholtodouglas,hardmaru,hardmaru
_sholtodouglas,typedfemale,typedfemale
_sholtodouglas,ylecun,Yann LeCun
_sholtodouglas,GoogleDeepMind,Google DeepMind
_sholtodouglas,fchollet,François Chollet
_sholtodouglas,JeffDean,Jeff Dean
_sholtodouglas,cHHillee,Horace He
_sholtodouglas,ericjang11,Eric Jang
_sholtodouglas,soumithchintala,Soumith Chintala
_sholtodouglas,hausman_k,Karol Hausman
_sholtodouglas,jekbradbury,James Bradbury
_sholtodouglas,arankomatsuzaki,Aran Komatsuzaki
_sholtodouglas,_arohan_,rohan anil
_sholtodouglas,ArtirKel,José Luis Ricón Fernández de la Puente
_sholtodouglas,0interestrates,rahul
_sholtodouglas,realGeorgeHotz,George Hotz 
_sholtodouglas,achowdhery,Aakanksha Chowdhery
_sholtodouglas,Miles_Brundage,Miles Brundage
_sholtodouglas,giffmana,Lucas Beyer (bl16)
_sholtodouglas,svlevine,Sergey Levine
_sholtodouglas,atomic_inc,Atomic Industries
_sholtodouglas,stanfordnlp,Stanford NLP Group
_sholtodouglas,SleeperJets,SleeperJets
_sholtodouglas,seb_ruder,Sebastian Ruder
_sholtodouglas,indigoorton,Indigo Orton
_sholtodouglas,matanSF,Matan Grinberg
_sholtodouglas,UnitreeRobotics,Unitree
_sholtodouglas,behrouz_ali,Ali Behrouz
_sholtodouglas,bephrem,Benyam Ephrem
_sholtodouglas,AdrianDittmann,Adrian Dittmann
_sholtodouglas,willreed_21,Will Reed
_sholtodouglas,AntithesisHQ,Antithesis
_sholtodouglas,laurenbalik,Lauren Balik
_sholtodouglas,girldinnersf,Girl Dinner
_sholtodouglas,_katetolo,Kate Tolo
_sholtodouglas,stochasticchasm,stochasm
_sholtodouglas,iamneubert,Nicolas Neubert
_sholtodouglas,hysmio,Hayden Sim
_sholtodouglas,ryanzip,Ryan Oksenhorn
_sholtodouglas,MoonL88537,Moon
_sholtodouglas,Lari_island,Lari
andy_l_jones,RichardMCNgo,Richard Ngo
andy_l_jones,AnthropicAI,Anthropic
andy_l_jones,AmandaAskell,Amanda Askell
andy_l_jones,jackclarkSF,Jack Clark
andy_l_jones,NeelNanda5,Neel Nanda
andy_l_jones,arankomatsuzaki,Aran Komatsuzaki
andy_l_jones,janleike,Jan Leike
andy_l_jones,KelseyTuoc,Kelsey Piper
andy_l_jones,catherineols,Catherine Olsson
andy_l_jones,ArtirKel,José Luis Ricón Fernández de la Puente
andy_l_jones,anderssandberg,Anders Sandberg
andy_l_jones,sleepinyourhat,Sam Bowman
andy_l_jones,kipperrii,kipply
andy_l_jones,cHHillee,Horace He
andy_l_jones,jungofthewon,Jungwon
andy_l_jones,IvanVendrov,ivan
andy_l_jones,hwchase17,Harrison Chase
andy_l_jones,KatjaGrace,Katja Grace 
andy_l_jones,joel_bkr,Joel Becker
andy_l_jones,michejafang,Michelle Fang
andy_l_jones,svlevine,Sergey Levine
andy_l_jones,abshkbh,Abhishek Bhardwaj
andy_l_jones,SleeperJets,SleeperJets
andy_l_jones,Rkt_Da,Tom Feldman
andy_l_jones,AndyLapsa,Andy Lapsa
andy_l_jones,alexalbert__,Alex Albert
andy_l_jones,stoke_space,Stoke Space
andy_l_jones,BretDevereaux,"""Online Rent-a-Sage"" Bret Devereaux"
andy_l_jones,nitarshan,Nitarshan
andy_l_jones,m_ryabinin,Max Ryabinin
andy_l_jones,JesseJenkins,Jesse D. Jenkins
andy_l_jones,DouthatNYT,Ross Douthat
andy_l_jones,Scholars_Stage,T. Greer
andy_l_jones,ajeya_cotra,Ajeya Cotra
andy_l_jones,RosieCampbell,Rosie Campbell
andy_l_jones,nanjiang_cs,Nan Jiang
andy_l_jones,sbspalding,Steve Spalding
andy_l_jones,quantian1,Quantіan
andy_l_jones,StorkDevon,Devon Stork
RyanPGreenblatt,joshua_clymer,Joshua Clymer
RyanPGreenblatt,redwood_ai,Redwood Research
RyanPGreenblatt,jkcarlsmith,Joe Carlsmith
RyanPGreenblatt,bshlgrs,Buck Shlegeris
RyanPGreenblatt,stanfordnlp,Stanford NLP Group
RyanPGreenblatt,pabbeel,Pieter Abbeel
RyanPGreenblatt,dpkingma,Durk Kingma
GladiaLab,tensorqt,tensorqt
GladiaLab,emaros96,Emanuele Rossi
GladiaLab,robdessi,Roberto Dessì
GladiaLab,BrigliaRosaria,Maria Rosaria Briglia
GladiaLab,cosmo_luca,Luca Cosmo
GladiaLab,d_baieri,Daniele Baieri
GladiaLab,MPegoraro42,Marco Pegoraro
GladiaLab,krytox205,Giorgio Strano
GladiaLab,noranta4,Antonio Norelli
GladiaLab,michelemancusi,Michele Mancusi
GladiaLab,marco_fumero,Marco Fumero
GladiaLab,R_AMinut,Adrian R. Minut
GladiaLab,EmilianPostola1,Emilian Postolache
GladiaLab,ValeMaiorca,Valentino Maiorca @ NeurIPS San Diego
GladiaLab,moschella_luca,Luca Moschella
GladiaLab,tommaso_mncttn,tommaso mencattini
GladiaLab,dansolombrino,Daniele Solombrino
GladiaLab,s_scardapane,Simone Scardapane
GladiaLab,fabreetseo,Fabrizio Silvestri
GladiaLab,DonatoCrisosto1,Donato Crisostomi
GladiaLab,ire_cannistraci,Irene Cannistraci
GladiaLab,marcusabramovi1,Marcus Abramovitch
GladiaLab,SleeperJets,SleeperJets
GladiaLab,maxhodak_,Max Hodak
GladiaLab,EmanueleRodola,Emanuele Rodolà
GladiaLab,_iAc,Iacopo Masi
GladiaLab,teelinsan,Andrea Santilli
SamuelAlbanie,_akhaliq,AK
SamuelAlbanie,ylecun,Yann LeCun
SamuelAlbanie,arankomatsuzaki,Aran Komatsuzaki
SamuelAlbanie,CSProfKGD,Kosta Derpanis
SamuelAlbanie,hardmaru,hardmaru
SamuelAlbanie,Michael_J_Black,Michael Black
SamuelAlbanie,fchollet,François Chollet
